date,close
07/24/09,159.99
07/23/09,157.82
07/22/09,156.74
07/21/09,151.51
07/20/09,152.91
07/17/09,151.75
07/16/09,147.52
07/15/09,146.88
07/14/09,142.27
07/13/09,142.34
07/10/09,138.52
07/09/09,136.36
07/08/09,137.22
07/07/09,135.4
07/06/09,138.61
07/03/09,140.02
07/02/09,140.02
07/01/09,142.83
06/30/09,142.43
06/29/09,141.97
06/26/09,142.44
06/25/09,139.86
06/24/09,136.22
06/23/09,134.01
06/22/09,137.37
06/19/09,139.48
06/18/09,135.88
06/17/09,135.58
06/16/09,136.35
06/15/09,136.09
06/12/09,136.97
06/11/09,139.95
06/10/09,140.25
06/09/09,142.72
06/08/09,143.85
06/05/09,144.67
06/04/09,143.74
06/03/09,140.95
06/02/09,139.49
06/01/09,139.35
05/29/09,135.81
05/28/09,135.07
05/27/09,133.05
05/26/09,130.78
05/22/09,122.5
05/21/09,124.18
05/20/09,125.87
05/19/09,127.45
05/18/09,126.65
05/15/09,122.42
05/14/09,122.95
05/13/09,119.49
05/12/09,124.42
05/11/09,129.57
05/08/09,129.19
05/07/09,129.06
05/06/09,132.5
05/05/09,132.71
05/04/09,132.07
05/01/09,127.24
04/30/09,125.83
04/29/09,125.14
04/28/09,123.9
04/27/09,124.73
04/24/09,123.9
04/23/09,125.4
04/22/09,121.51
04/21/09,121.76
04/20/09,120.5
04/17/09,123.42
04/16/09,121.45
04/15/09,117.64
04/14/09,118.31
04/13/09,120.22
04/10/09,119.57
04/09/09,119.57
04/08/09,116.32
04/07/09,115
04/06/09,118.45
04/03/09,115.99
04/02/09,112.71
04/01/09,108.69
03/31/09,105.12
03/30/09,104.49
03/27/09,106.85
03/26/09,109.87
03/25/09,106.49
03/24/09,106.5
03/23/09,107.66
03/20/09,101.59
03/19/09,101.62
03/18/09,101.52
03/17/09,99.66
03/16/09,95.42
03/13/09,95.93
03/12/09,96.35
03/11/09,92.68
03/10/09,88.63
03/09/09,83.11
03/06/09,85.3
03/05/09,88.84
03/04/09,91.17
03/03/09,88.37
03/02/09,87.94
02/27/09,89.31
02/26/09,89.19
02/25/09,91.16
02/24/09,90.25
02/23/09,86.95
02/20/09,91.2
02/19/09,90.64
02/18/09,94.37
02/17/09,94.53
02/13/09,99.16
02/12/09,99.27
02/11/09,96.82
02/10/09,97.83
02/09/09,102.51
02/06/09,99.72
02/05/09,96.46
02/04/09,93.55
02/03/09,92.98
02/02/09,91.51
01/30/09,90.13
01/29/09,93
01/28/09,94.2
01/27/09,90.73
01/26/09,89.64
01/23/09,88.36
01/22/09,88.36
01/21/09,82.83
01/20/09,78.2
01/16/09,82.33
01/15/09,83.38
01/14/09,85.33
01/13/09,87.71
01/12/09,88.66
01/09/09,90.58
01/08/09,92.7
01/07/09,91.01
01/06/09,93.02
01/05/09,94.58
01/02/09,90.75
01/01/09,85.35
12/31/08,85.35
12/30/08,86.29
12/29/08,86.61
12/26/08,85.81
12/25/08,85.04
12/24/08,85.04
12/23/08,86.38
12/22/08,85.74
12/19/08,90
12/18/08,89.43
12/17/08,89.16
12/16/08,95.43
12/15/08,94.75
12/12/08,98.27
12/11/08,95
12/10/08,98.21
12/09/08,100.06
12/08/08,99.72
12/05/08,94
12/04/08,91.41
12/03/08,95.9
12/02/08,92.47
12/01/08,88.93
11/28/08,92.67
11/27/08,95
11/26/08,95
11/25/08,90.8
11/24/08,92.95
11/21/08,82.58
11/20/08,80.49
11/19/08,86.29
11/18/08,89.91
11/17/08,88.14
11/14/08,90.24
11/13/08,96.44
11/12/08,90.12
11/11/08,94.77
11/10/08,95.88
11/07/08,98.24
11/06/08,99.1
11/05/08,103.3
11/04/08,110.99
11/03/08,106.96
10/31/08,107.59
10/30/08,111.04
10/29/08,104.55
10/28/08,99.91
10/27/08,92.09
10/24/08,96.38
10/23/08,98.23
10/22/08,96.87
10/21/08,91.49
10/20/08,98.44
10/17/08,97.4
10/16/08,101.89
10/15/08,97.95
10/14/08,104.08
10/13/08,110.26
10/10/08,96.8
10/09/08,88.74
10/08/08,89.79
10/07/08,89.16
10/06/08,98.14
10/03/08,97.07
10/02/08,100.1
10/01/08,109.12
09/30/08,113.66
09/29/08,105.26
09/26/08,128.24
09/25/08,131.93
09/24/08,128.71
09/23/08,126.84
09/22/08,131.05
09/19/08,140.91
09/18/08,134.09
09/17/08,127.83
09/16/08,139.88
09/15/08,140.36
09/12/08,148.94
09/11/08,152.65
09/10/08,151.61
09/09/08,151.68
09/08/08,157.92
09/05/08,160.18
09/04/08,161.22
09/03/08,166.96
09/02/08,166.19
08/29/08,169.53
08/28/08,173.74
08/27/08,174.67
08/26/08,173.64
08/25/08,172.55
08/22/08,176.79
08/21/08,174.29
08/20/08,175.84
08/19/08,173.53
08/18/08,175.39
08/15/08,175.74
08/14/08,179.32
08/13/08,179.3
08/12/08,176.73
08/11/08,173.56
08/08/08,169.55
08/07/08,163.57
08/06/08,164.19
08/05/08,160.64
08/04/08,153.23
08/01/08,156.66
07/31/08,158.95
07/30/08,159.88
07/29/08,157.08
07/28/08,154.4
07/25/08,162.12
07/24/08,159.03
07/23/08,166.26
07/22/08,162.02
07/21/08,166.29
07/18/08,165.15
07/17/08,171.81
07/16/08,172.81
07/15/08,169.64
07/14/08,173.88
07/11/08,172.58
07/10/08,176.63
07/09/08,174.25
07/08/08,179.55
07/07/08,175.16
07/03/08,170.12
07/02/08,168.18
07/01/08,174.68
06/30/08,167.44
06/27/08,170.09
06/26/08,168.26
06/25/08,177.39
06/24/08,173.25
06/23/08,173.16
06/20/08,175.27
06/19/08,180.9
06/18/08,178.75
06/17/08,181.43
06/16/08,176.84
06/13/08,172.37
06/12/08,173.26
06/11/08,180.81
06/10/08,185.64
06/09/08,181.61
06/06/08,185.64
06/05/08,189.43
06/04/08,185.19
06/03/08,185.37
06/02/08,186.1
05/30/08,188.75
05/29/08,186.69
05/28/08,187.01
05/27/08,186.43
05/23/08,181.17
